INFO :[2021-06-15 15:56:19,294] ContextLoader.java:270 - Root WebApplicationContext: initialization started
INFO :[2021-06-15 15:56:21,895] ContextLoader.java:306 - Root WebApplicationContext initialized in 2597 ms
INFO :[2021-06-15 15:56:21,977] FrameworkServlet.java:524 - Initializing Servlet 'appServlet'
INFO :[2021-06-15 15:56:25,051] CompositeLog.java:132 - Starting...
INFO :[2021-06-15 15:56:25,051] CompositeLog.java:132 - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [DefaultSubscriptionRegistry[cache[0 destination(s)], registry[0 sessions]]]]
INFO :[2021-06-15 15:56:25,060] CompositeLog.java:132 - Started.
INFO :[2021-06-15 15:56:25,075] FrameworkServlet.java:546 - Completed initialization in 3097 ms
DEBUG:[2021-06-15 15:56:35,060] LoggerInterceptor.java:20 - =================== start ===================
DEBUG:[2021-06-15 15:56:35,060] LoggerInterceptor.java:21 - /spring/
DEBUG:[2021-06-15 15:56:35,060] LoggerInterceptor.java:22 - ---------------------------------------------
INFO :[2021-06-15 15:56:35,075] HomeController.java:30 - index 페이지 요청
DEBUG:[2021-06-15 15:56:35,087] LoggerInterceptor.java:34 - ---------------------------------------------
DEBUG:[2021-06-15 15:56:35,091] LoggerInterceptor.java:35 - modelAndView = ModelAndView [view="forward:/index.jsp"; model={}]
DEBUG:[2021-06-15 15:56:35,228] LoggerInterceptor.java:45 - ------------------- view -------------------
DEBUG:[2021-06-15 15:56:35,229] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-15 15:56:35,271] LoggerInterceptor.java:20 - =================== start ===================
DEBUG:[2021-06-15 15:56:35,272] LoggerInterceptor.java:21 - /spring/resources/images/logo-spring.png
DEBUG:[2021-06-15 15:56:35,272] LoggerInterceptor.java:22 - ---------------------------------------------
DEBUG:[2021-06-15 15:56:35,271] LoggerInterceptor.java:20 - =================== start ===================
DEBUG:[2021-06-15 15:56:35,272] LoggerInterceptor.java:21 - /spring/resources/css/style.css
DEBUG:[2021-06-15 15:56:35,272] LoggerInterceptor.java:22 - ---------------------------------------------
DEBUG:[2021-06-15 15:56:35,292] LoggerInterceptor.java:34 - ---------------------------------------------
DEBUG:[2021-06-15 15:56:35,292] LoggerInterceptor.java:35 - modelAndView = null
DEBUG:[2021-06-15 15:56:35,292] LoggerInterceptor.java:34 - ---------------------------------------------
DEBUG:[2021-06-15 15:56:35,293] LoggerInterceptor.java:35 - modelAndView = null
DEBUG:[2021-06-15 15:56:35,293] LoggerInterceptor.java:45 - ------------------- view -------------------
DEBUG:[2021-06-15 15:56:35,293] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-15 15:56:35,293] LoggerInterceptor.java:45 - ------------------- view -------------------
DEBUG:[2021-06-15 15:56:35,294] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-15 15:56:44,537] LoggerInterceptor.java:20 - =================== start ===================
DEBUG:[2021-06-15 15:56:44,537] LoggerInterceptor.java:21 - /spring/ws/stomp.do
DEBUG:[2021-06-15 15:56:44,537] LoggerInterceptor.java:22 - ---------------------------------------------
DEBUG:[2021-06-15 15:56:44,539] LoggerInterceptor.java:45 - ------------------- view -------------------
DEBUG:[2021-06-15 15:56:44,539] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-15 15:56:44,571] LoggerInterceptor.java:20 - =================== start ===================
DEBUG:[2021-06-15 15:56:44,572] LoggerInterceptor.java:21 - /spring/member/memberLogin.do
DEBUG:[2021-06-15 15:56:44,572] LoggerInterceptor.java:22 - ---------------------------------------------
INFO :[2021-06-15 15:56:44,577] MemberController.java:93 - @ModelAttribute("common")
INFO :[2021-06-15 15:56:44,606] MemberController.java:150 - referer = http://localhost:9090/spring/
INFO :[2021-06-15 15:56:44,606] MemberController.java:151 - next = http://localhost:9090/spring/ws/stomp.do?null
DEBUG:[2021-06-15 15:56:44,618] LoggerInterceptor.java:34 - ---------------------------------------------
DEBUG:[2021-06-15 15:56:44,619] LoggerInterceptor.java:35 - modelAndView = ModelAndView [view="member/memberLogin"; model={msg=로그인 후 사용하실 수 있습니다., next=http://localhost:9090/spring/ws/stomp.do?null, common={adminPhone=070-1234-5678, adminEmail=admin@kh.or.kr}, org.springframework.validation.BindingResult.next=org.springframework.validation.BeanPropertyBindingResult: 0 errors}]
DEBUG:[2021-06-15 15:56:45,554] LoggerInterceptor.java:45 - ------------------- view -------------------
DEBUG:[2021-06-15 15:56:45,555] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-15 15:56:47,171] LoggerInterceptor.java:20 - =================== start ===================
DEBUG:[2021-06-15 15:56:47,171] LoggerInterceptor.java:21 - /spring/member/memberLogin.do
DEBUG:[2021-06-15 15:56:47,171] LoggerInterceptor.java:22 - ---------------------------------------------
INFO :[2021-06-15 15:56:47,175] MemberController.java:93 - @ModelAttribute("common")
INFO :[2021-06-15 15:56:47,733] MemberController.java:163 - member = Member(id=honggd, password=$2a$10$58P5ZogXEOyZbwCYwYX2fOwsuu6CogrAAaY.l//XUYvClKbzvV5l6, name=홍길동, gender=M, birthday=2021-05-14, email=honggd@naver.com, phone=01012341234, address=null, hobby=[등산, 독서, 여행], enrollDate=2021-05-20, enabled=true)
INFO :[2021-06-15 15:56:47,796] MemberController.java:184 - next = http://localhost:9090/spring/ws/stomp.do?null
DEBUG:[2021-06-15 15:56:47,797] LoggerInterceptor.java:34 - ---------------------------------------------
DEBUG:[2021-06-15 15:56:47,797] LoggerInterceptor.java:35 - modelAndView = ModelAndView [view="redirect:http://localhost:9090/spring/ws/stomp.do?null"; model={}]
DEBUG:[2021-06-15 15:56:47,803] LoggerInterceptor.java:45 - ------------------- view -------------------
DEBUG:[2021-06-15 15:56:47,803] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-15 15:56:47,819] LoggerInterceptor.java:20 - =================== start ===================
DEBUG:[2021-06-15 15:56:47,820] LoggerInterceptor.java:21 - /spring/ws/stomp.do
DEBUG:[2021-06-15 15:56:47,820] LoggerInterceptor.java:22 - ---------------------------------------------
DEBUG:[2021-06-15 15:56:47,820] LoggerInterceptor.java:34 - ---------------------------------------------
DEBUG:[2021-06-15 15:56:47,820] LoggerInterceptor.java:35 - modelAndView = ModelAndView [view="ws/stomp"; model={}]
